OBJECTID_12,OBJECTID_1,OBJECTID,DISTRICT,DISTNAME,CAMPUS,CAMPNAME,STREET_MAI,CITY_MAIL,ZIP_MAIL,STREET,CITY,ZIP,COUNTY,CNTYNAME,REGION,GRADERANGE,GRADEGRP,VERIFY,INSTR_TYPE,STREET_M_1,ADJUST,Shape,Latitude,Longitude
270,270,1275,101921,TOMBALL ISD,101921110,ROSEHILL ELEMENTARY SCHOOL,17950 WALLER TOMBALL RD,TOMBALL,77377,17950 WALLER TOMBALL RD,TOMBALL,77377,101,HARRIS COUNTY,4,PK-4,1,0,REGULAR,17950 WALLER TOMBALL RD,Y,270,30.061727,-95.681504
1034,1034,6970,101842,COMQUEST ACADEMY,101842001,COMQUEST ACADEMY,612 MALONE,TOMBALL,77377,612 MALONE,TOMBALL,77377,101,HARRIS COUNTY,4,KG-12,5,0,CHARTER/ALTERNATIVE,612 MALONE,Y,1034,30.061727,-95.681504
15,15,74,101915,KLEIN ISD,101915035,THERAPEUTIC EDUCATION PROGRAM,16503 STUEBNER-AIRLINE,KLEIN,77379,16503 STUEBNER-AIRLINE,KLEIN,77379,101,HARRIS COUNTY,4,EE - 12,5,0,ALTERNATIVE INSTRUCTIONAL,16503 STUEBNER-AIRLINE,Y,15,30.040876,-95.528914
122,122,689,101915,KLEIN ISD,101915048,KRIMMEL INTERMED,7070 FM 2920,KLEIN,77379,7070 FM 2920,KLEIN,77379,101,HARRIS COUNTY,4,06 07 08,2,0,REGULAR INSTRUCTIONAL,7070 FM 2920,Y,122,30.040876,-95.528914
123,123,690,101915,KLEIN ISD,101915125,FRANK EL,9225 CRESCENT CLOVER DR,KLEIN,77379,9225 CRESCENT CLOVER DR,KLEIN,77379,101,HARRIS COUNTY,4,EE PK KG 01 02 03 04 05,1,0,REGULAR INSTRUCTIONAL,9225 CRESCENT CLOVER DR,Y,123,30.040876,-95.528914
317,317,1604,101915,KLEIN ISD,101915120,HASSLER EL,9325 LOCHLEA RDG DR,KLEIN,77379,9325 LOCHLEA RDG DR,KLEIN,77379,101,HARRIS COUNTY,4,EE-5,1,0,REGULAR,9325 LOCHLEA RDG DR,Y,317,30.040876,-95.528914
1142,1142,7408,101915,KLEIN ISD,101915124,BENIGNUS EL,7225 ALVIN A KLEIN DR,KLEIN,77379,7225 ALVIN A KLEIN DR,KLEIN,77379,101,HARRIS COUNTY,4,EE PK KG 01 02 03 04 05,1,0,REGULAR INSTRUCTIONAL,7225 ALVIN A KLEIN DR,Y,1142,30.040876,-95.528914
1247,1247,8141,101915,KLEIN ISD,101915126,MUELLER EL,7074 FM 2920,KLEIN,77379,7074 FM 2920,KLEIN,77379,101,HARRIS COUNTY,4,EE PK KG 01 02 03 04 05,1,0,REGULAR INSTRUCTIONAL,7074 FM 2920,Y,1247,30.040876,-95.528914
1105,1105,7251,101915,KLEIN ISD,101915121,KREINHOP ELEMENTARY,21010 ELLA BLVD,SPRING,77388,21010 ELLA BLVD,SPRING,77388,101,HARRIS COUNTY,4,EE PK KG 01 02 03 04 05,1,0,REGULAR INSTRUCTIONAL,21010 ELLA BLVD,Y,1105,30.057802,-95.470985
1186,1186,7687,101915,KLEIN ISD,101915004,KLEIN COLLINS HIGH SCHOOL,20811 ELLA BLVD,SPRING,77388,20811 ELLA BLVD,SPRING,77388,101,HARRIS COUNTY,4,12-Sep,4,1,REGULAR INSTRUCTIONAL,20811 ELLA BLVD,Y,1186,30.057802,-95.470985
1187,1187,7688,101915,KLEIN ISD,101915047,SCHINDEWOLF INTERMEDIATE SCHOOL,20903 ELLA BLVD,SPRING,77388,20903 ELLA BLVD,SPRING,77388,101,HARRIS COUNTY,4,8-Jun,2,0,REGULAR INSTRUCTIONAL,20903 ELLA BLVD,Y,1187,30.057802,-95.470985
1063,1063,7030,101915,KLEIN ISD,101915123,METZLER EL,8500 W RAYFORD RD,SPRING,77389,8500 W RAYFORD RD,SPRING,77389,101,HARRIS COUNTY,4,EE PK KG 01 02 03 04 05,1,0,REGULAR INSTRUCTIONAL,8500 W RAYFORD RD,Y,1063,30.123469,-95.517064
